OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
187307544,327,Rockville Metro West,32047,39.084379,-77.146866,YES,NO,,,NO,6,13,387293.2101,157383.4432,
187307545,328,Bethesda Metro,32048,38.984691,-77.094537,YES,NO,,,NO,8,4,391809.2327,146310.9972,
187307546,329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,YES,NO,,,NO,8,10,393814.2024,135788.7574,
187307547,330,34th & Water St NW,31314,38.903663,-77.067668,YES,NO,,,NO,1,17,394130.5181,137314.0994,
187307548,331,Duke St & John Carlyle St,31081,38.804378,-77.060866,YES,NO,,,NO,5,10,394713.171,126292.3414,
187307549,332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,YES,NO,,,NO,7,8,392045.8923,136347.7067,
187307550,333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,YES,NO,,,NO,9,6,390931.1247,133518.3185,
187307551,334,10th & G St NW,31274,38.898243,-77.026235,YES,NO,,,NO,11,12,397724.2187,136710.5874,
187307552,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,YES,NO,,,NO,5,10,392986.4379,136643.3202,
187307553,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,YES,NO,,,NO,2,17,395568.8857,137101.3604,
187307554,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,YES,NO,,,NO,3,12,394010.5462,125930.1835,
187307555,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,YES,NO,,,NO,5,5,395875.6679,128220.0553,
187307556,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,YES,NO,,,NO,5,14,394478.8647,126103.6794,
187307557,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,YES,NO,,,NO,6,5,394996.3049,128033.4045,
187307558,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,YES,NO,,,NO,13,2,394916.6564,128686.84,
187307559,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,YES,NO,,,NO,7,8,395389.143,128129.5199,
187307560,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,YES,NO,,,NO,7,8,394806.0275,129478.0567,
187307561,344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,YES,NO,,,NO,9,12,392643.0665,135866.5762,
187307562,345,Washington Adventist U / Flower Ave & Division St,32049,38.986743,-77.000035,YES,NO,,,NO,6,9,399996.9677,146534.5483,
187307563,346,6th & S Ball St,31090,38.864702,-77.048672,YES,NO,,,NO,4,11,395775.9137,132988.0787,
187307564,347,McKinley St & Connecticut Ave NW,31315,38.96497,-77.075946,YES,NO,,,NO,1,17,393418.1513,144120.2736,
187307565,348,15th & L St NW,31276,38.90366,-77.034846,YES,NO,,,NO,4,19,396977.4784,137312.1678,
187307566,349,17th & G St NW,31277,38.89841,-77.039624,YES,NO,,,NO,13,18,396562.7846,136729.5447,
187307567,350,Spring St & Second Ave,32050,38.997653,-77.034499,YES,NO,,,NO,5,10,397011.5202,147746.232,
187307568,351,18th & R St NW,31278,38.912648,-77.041834,YES,NO,,,NO,7,12,396371.8007,138310.1638,
187307569,352,S Joyce & 16th St S,31091,38.859254,-77.063275,YES,NO,,,NO,3,12,394508.1473,132384.0883,
187307570,353,Union Market/6th St & Neal Pl NE,31517,38.908008,-76.996985,YES,NO,,,NO,20,2,400261.5034,137794.2586,
